state,pollutant,emissions,unit,fuel
TN,"1,2,4-Trichlorobenzene",114.16,LB,"Subbituminous Coal, Pulverized"
WY,"1,2,4-Trichlorobenzene",237.7,LB,"Subbituminous Coal, Pulverized"
MS,"1,2,4-Trichlorobenzene",0,LB,Natural Gas
AL,"1,2,4-Trichlorobenzene",0,LB,Distillate Oil (Diesel)
MS,"1,2,4-Trichlorobenzene",0,LB,Natural Gas
TX,"1,3-Butadiene",12,LB,"Anthracite Coal, Pulverized"
NC,"1,3-Butadiene",4.74,LB,"Bituminous Coal, Pulverized"
NJ,"1,3-Butadiene",0,LB,Bituminous Coal
CA,"1,3-Butadiene",3.05675,LB,Bituminous Coal
MN,"1,3-Butadiene",0.37858,LB,"Subbituminous Coal, Pulverized"
,"1,3-Butadiene",0.0672,LB,Distillate Oil - Grades 1 and 2
CA,"1,3-Butadiene",1.93,LB,Distillate Oil - Grades 1 and 2
MN,"1,3-Butadiene",2.40156288,LB,Distillate Oil - Grades 1 and 2
NC,"1,3-Butadiene",94.754,LB,Distillate Oil - Grades 1 and 2
NJ,"1,3-Butadiene",0,LB,Distillate Oil - Grades 1 and 2
MD,"1,3-Butadiene",6.648492,LB,Distillate Oil - Grade 4
CA,"1,3-Butadiene",45.80242,LB,Natural Gas
LA,"1,3-Butadiene",5.93298,LB,Natural Gas
MD,"1,3-Butadiene",2.3482262,LB,Natural Gas
NJ,"1,3-Butadiene",0,LB,Natural Gas
NM,"1,3-Butadiene",960,LB,Natural Gas
OK,"1,3-Butadiene",2.2779,LB,Natural Gas
TX,"1,3-Butadiene",4258.4964,LB,Natural Gas
NC,"1,3-Butadiene",7.95,LB,Natural Gas
NJ,"1,3-Butadiene",0,LB,Natural Gas
NC,"1,3-Butadiene",0.435,LB,Natural Gas
TX,"1,3-Butadiene",64.4,LB,Process Gas
CA,"1,3-Butadiene",0.00965,LB,Wood/Bark Waste
CA,"1,3-Butadiene",107.68551,LB,Other Oil
AR,"1,3-Butadiene",2.052336,LB,Distillate Oil (Diesel)
AZ,"1,3-Butadiene",0.20065526,LB,Distillate Oil (Diesel)
CA,"1,3-Butadiene",9.016312,LB,Distillate Oil (Diesel)
CT,"1,3-Butadiene",6.1777512,LB,Distillate Oil (Diesel)
FL,"1,3-Butadiene",52.51856,LB,Distillate Oil (Diesel)
GA,"1,3-Butadiene",0.025552,LB,Distillate Oil (Diesel)
IA,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
IL,"1,3-Butadiene",0.918604406,LB,Distillate Oil (Diesel)
IN,"1,3-Butadiene",0.03097,LB,Distillate Oil (Diesel)
KS,"1,3-Butadiene",0.3348,LB,Distillate Oil (Diesel)
KY,"1,3-Butadiene",1.98555,LB,Distillate Oil (Diesel)
MI,"1,3-Butadiene",1.9452527,LB,Distillate Oil (Diesel)
MN,"1,3-Butadiene",2.042396696,LB,Distillate Oil (Diesel)
MS,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
NC,"1,3-Butadiene",5.50106,LB,Distillate Oil (Diesel)
NJ,"1,3-Butadiene",15.35217,LB,Distillate Oil (Diesel)
NM,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
NY,"1,3-Butadiene",29.44935143,LB,Distillate Oil (Diesel)
OH,"1,3-Butadiene",0.85827986,LB,Distillate Oil (Diesel)
OR,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
SC,"1,3-Butadiene",6.178944,LB,Distillate Oil (Diesel)
TN,"1,3-Butadiene",3.054782,LB,Distillate Oil (Diesel)
TX,"1,3-Butadiene",19.89726,LB,Distillate Oil (Diesel)
WA,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
WI,"1,3-Butadiene",5.05371,LB,Distillate Oil (Diesel)
WV,"1,3-Butadiene",1.8,LB,Distillate Oil (Diesel)
AL,"1,3-Butadiene",0.06,LB,Distillate Oil (Diesel)
AR,"1,3-Butadiene",0.001757,LB,Distillate Oil (Diesel)
AZ,"1,3-Butadiene",0.263916078,LB,Distillate Oil (Diesel)
CA,"1,3-Butadiene",829.4524497,LB,Distillate Oil (Diesel)
IA,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
ID,"1,3-Butadiene",0.00002024,LB,Distillate Oil (Diesel)
IL,"1,3-Butadiene",4.72336743,LB,Distillate Oil (Diesel)
IN,"1,3-Butadiene",0.0544935,LB,Distillate Oil (Diesel)
KS,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
KY,"1,3-Butadiene",0.0419,LB,Distillate Oil (Diesel)
LA,"1,3-Butadiene",0.8924,LB,Distillate Oil (Diesel)
MN,"1,3-Butadiene",0.40253664,LB,Distillate Oil (Diesel)
MS,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
NC,"1,3-Butadiene",5.26231,LB,Distillate Oil (Diesel)
NJ,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
NM,"1,3-Butadiene",0.206912,LB,Distillate Oil (Diesel)
NY,"1,3-Butadiene",0.02506088,LB,Distillate Oil (Diesel)
OH,"1,3-Butadiene",0.3888365,LB,Distillate Oil (Diesel)
OK,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
TN,"1,3-Butadiene",0.18821782,LB,Distillate Oil (Diesel)
TX,"1,3-Butadiene",0.4,LB,Distillate Oil (Diesel)
WV,"1,3-Butadiene",0.02,LB,Distillate Oil (Diesel)
WY,"1,3-Butadiene",0.025,LB,Distillate Oil (Diesel)
AR,"1,3-Butadiene",0.00119,LB,Distillate Oil (Diesel)
CA,"1,3-Butadiene",1.06764,LB,Distillate Oil (Diesel)
AR,"1,3-Butadiene",0.0292368,LB,Distillate Oil (Diesel)
CA,"1,3-Butadiene",0.8517978,LB,Distillate Oil (Diesel)
NC,"1,3-Butadiene",0.04372816,LB,Distillate Oil (Diesel)
OH,"1,3-Butadiene",18.9240559,LB,Distillate Oil (Diesel)
TN,"1,3-Butadiene",0.007,LB,Distillate Oil (Diesel)
CA,"1,3-Butadiene",0.091308,LB,Distillate Oil (Diesel)
IL,"1,3-Butadiene",0,LB,Distillate Oil (Diesel)
MA,"1,3-Butadiene",10.203208,LB,Distillate Oil (Diesel)
NC,"1,3-Butadiene",0.61,LB,Distillate Oil (Diesel)
NY,"1,3-Butadiene",2.7,LB,Distillate Oil (Diesel)
OR,"1,3-Butadiene",0.00281602,LB,Distillate Oil (Diesel)
VA,"1,3-Butadiene",4.666157,LB,Distillate Oil (Diesel)
AL,"1,3-Butadiene",110.3512554,LB,Natural Gas
AR,"1,3-Butadiene",31.6044898,LB,Natural Gas
AZ,"1,3-Butadiene",33.28402868,LB,Natural Gas
CA,"1,3-Butadiene",98.61401591,LB,Natural Gas
CO,"1,3-Butadiene",17.471301,LB,Natural Gas
CT,"1,3-Butadiene",41.00959012,LB,Natural Gas
FL,"1,3-Butadiene",298.6218062,LB,Natural Gas
GA,"1,3-Butadiene",55.75527,LB,Natural Gas
IA,"1,3-Butadiene",1.808355,LB,Natural Gas
IL,"1,3-Butadiene",19.24132955,LB,Natural Gas
IN,"1,3-Butadiene",3.190645,LB,Natural Gas
KS,"1,3-Butadiene",0.96613,LB,Natural Gas
KY,"1,3-Butadiene",63.914052,LB,Natural Gas
LA,"1,3-Butadiene",7.649653,LB,Natural Gas
MA,"1,3-Butadiene",10.69311,LB,Natural Gas
MD,"1,3-Butadiene",0,LB,Natural Gas
ME,"1,3-Butadiene",17.816737,LB,Natural Gas
MI,"1,3-Butadiene",24.7833387,LB,Natural Gas
MN,"1,3-Butadiene",10.73764408,LB,Natural Gas
MO,"1,3-Butadiene",12.81155843,LB,Natural Gas
MS,"1,3-Butadiene",75.6647904,LB,Natural Gas
MT,"1,3-Butadiene",0.0505366,LB,Natural Gas
NC,"1,3-Butadiene",27.56692,LB,Natural Gas
NH,"1,3-Butadiene",8.322,LB,Natural Gas
NJ,"1,3-Butadiene",27.88211,LB,Natural Gas
NM,"1,3-Butadiene",61.638328,LB,Natural Gas
NV,"1,3-Butadiene",32.59073,LB,Natural Gas
NY,"1,3-Butadiene",107.7561359,LB,Natural Gas
OH,"1,3-Butadiene",21.61932834,LB,Natural Gas
OK,"1,3-Butadiene",66.74968,LB,Natural Gas
OR,"1,3-Butadiene",13.2079078,LB,Natural Gas
PA,"1,3-Butadiene",52.71,LB,Natural Gas
RI,"1,3-Butadiene",22.22,LB,Natural Gas
TN,"1,3-Butadiene",11.36315896,LB,Natural Gas
TX,"1,3-Butadiene",1035.880313,LB,Natural Gas
VA,"1,3-Butadiene",18.487891,LB,Natural Gas
WA,"1,3-Butadiene",3.49019,LB,Natural Gas
WI,"1,3-Butadiene",14.00806,LB,Natural Gas
WV,"1,3-Butadiene",0.783884,LB,Natural Gas
WY,"1,3-Butadiene",0.07,LB,Natural Gas
AL,"1,3-Butadiene",46,LB,Natural Gas
CA,"1,3-Butadiene",1667.089679,LB,Natural Gas
ID,"1,3-Butadiene",0.000139658,LB,Natural Gas
KS,"1,3-Butadiene",0.1074,LB,Natural Gas
MD,"1,3-Butadiene",3.65,LB,Natural Gas
MN,"1,3-Butadiene",0.0678672,LB,Natural Gas
MS,"1,3-Butadiene",0,LB,Natural Gas
NC,"1,3-Butadiene",0.4004811,LB,Natural Gas
NJ,"1,3-Butadiene",5.65,LB,Natural Gas
NY,"1,3-Butadiene",143.42,LB,Natural Gas
OR,"1,3-Butadiene",80.3782,LB,Natural Gas
RI,"1,3-Butadiene",50,LB,Natural Gas
TX,"1,3-Butadiene",0.2,LB,Natural Gas
CA,"1,3-Butadiene",0.000007244,LB,Natural Gas
WV,"1,3-Butadiene",0.00562,LB,Natural Gas
LA,"1,3-Butadiene",7.1918415,LB,Natural Gas
MA,"1,3-Butadiene",42.81985,LB,Natural Gas
NC,"1,3-Butadiene",0.7197,LB,Natural Gas
NY,"1,3-Butadiene",0.119351,LB,Natural Gas
OH,"1,3-Butadiene",0.0039406,LB,Natural Gas
OR,"1,3-Butadiene",14.5602791,LB,Natural Gas
WA,"1,3-Butadiene",0,LB,Natural Gas
CA,"1,3-Butadiene",0.7368309,LB,Process Gas
MD,"1,3-Butadiene",35.753,LB,Process Gas
AZ,"1,3-Butadiene",0.01410552,LB,Process Gas
CA,"1,3-Butadiene",18.16551,LB,Landfill Gas
NC,"1,3-Butadiene",0.009,LB,Landfill Gas
VA,"1,3-Butadiene",8.79853,LB,Landfill Gas
CA,"1,3-Butadiene",46.03987,LB,Landfill Gas
MN,"1,3-Butadiene",136.696,LB,Landfill Gas
SC,"1,3-Butadiene",253.68,LB,Landfill Gas
CA,"1,3-Butadiene",20.5,LB,Landfill Gas
CT,"1,3-Butadiene",0.056122,LB,Kerosene/Naphtha (Jet Fuel)
DE,"1,3-Butadiene",268.21531,LB,Kerosene/Naphtha (Jet Fuel)
NH,"1,3-Butadiene",0.130492,LB,Kerosene/Naphtha (Jet Fuel)
NY,"1,3-Butadiene",1.882252,LB,Kerosene/Naphtha (Jet Fuel)
AL,"1,3-Dichloropropene",0,LB,"Bituminous Coal, Pulverized"
NC,"1,3-Dichloropropene",96.1658,LB,"Bituminous Coal, Pulverized"
TN,"1,3-Dichloropropene",13.246,LB,"Bituminous Coal, Pulverized"
TN,"1,3-Dichloropropene",25.03591,LB,Bituminous Coal
AZ,"1,3-Dichloropropene",394.2094,LB,"Bituminous Coal, Pulverized"
NC,"1,3-Dichloropropene",20.71063,LB,"Bituminous Coal, Pulverized"
TN,"1,3-Dichloropropene",103.726,LB,"Bituminous Coal, Pulverized"
NC,"1,3-Dichloropropene",105.3074,LB,Bituminous Coal
TN,"1,3-Dichloropropene",96.78,LB,Bituminous Coal
AL,"1,3-Dichloropropene",165.6,LB,"Subbituminous Coal, Pulverized"
TX,"1,3-Dichloropropene",0.8,LB,"Subbituminous Coal, Pulverized"
TN,"1,3-Dichloropropene",10.2834,LB,Subbituminous Coal
TN,"1,3-Dichloropropene",54.802,LB,"Subbituminous Coal, Pulverized"
CA,"1,3-Dichloropropene",0.29136,LB,Other Oil
AL,"1,3-Dichloropropene",0,LB,Distillate Oil (Diesel)
AL,"1,3-Dichloropropene",2,LB,Natural Gas
CA,"1,3-Dichloropropene",1.671826494,LB,Natural Gas
MN,"1,3-Dichloropropene",0.00670896,LB,Natural Gas
NC,"1,3-Dichloropropene",0.00140051,LB,Natural Gas
OR,"1,3-Dichloropropene",4.293366,LB,Natural Gas
RI,"1,3-Dichloropropene",3,LB,Natural Gas
WV,"1,3-Dichloropropene",0.000556,LB,Natural Gas
CA,"1,3-Dichloropropene",0.00001477,LB,Process Gas
CA,"1,3-Dichloropropene",42.69688,LB,Landfill Gas
MN,"1,3-Dichloropropene",13.51594,LB,Landfill Gas
SC,"1,3-Dichloropropene",25.1,LB,Landfill Gas
CA,"1,3-Dichloropropene",1.01,LB,Landfill Gas
MS,"1,4-Dichlorobenzene",31,LB,"Anthracite Coal, Pulverized"
AL,"1,4-Dichlorobenzene",0,LB,"Bituminous Coal, Pulverized"
KY,"1,4-Dichlorobenzene",78.35,LB,"Bituminous Coal, Pulverized"
NC,"1,4-Dichlorobenzene",186.16045,LB,"Bituminous Coal, Pulverized"
TN,"1,4-Dichlorobenzene",20.234,LB,"Bituminous Coal, Pulverized"
WV,"1,4-Dichlorobenzene",0.24,LB,"Bituminous Coal, Pulverized"
TN,"1,4-Dichlorobenzene",38.24937,LB,Bituminous Coal
AZ,"1,4-Dichlorobenzene",92.26184,LB,"Bituminous Coal, Pulverized"
KY,"1,4-Dichlorobenzene",59.96,LB,"Bituminous Coal, Pulverized"
NC,"1,4-Dichlorobenzene",234.25118,LB,"Bituminous Coal, Pulverized"
TN,"1,4-Dichlorobenzene",158.486,LB,"Bituminous Coal, Pulverized"
NC,"1,4-Dichlorobenzene",160.8812,LB,Bituminous Coal
TN,"1,4-Dichlorobenzene",147.86,LB,Bituminous Coal
AL,"1,4-Dichlorobenzene",253,LB,"Subbituminous Coal, Pulverized"
MN,"1,4-Dichlorobenzene",149.4,LB,"Subbituminous Coal, Pulverized"
WY,"1,4-Dichlorobenzene",58,LB,"Subbituminous Coal, Pulverized"
MN,"1,4-Dichlorobenzene",36.02,LB,Subbituminous Coal
MS,"1,4-Dichlorobenzene",33,LB,Subbituminous Coal
TN,"1,4-Dichlorobenzene",15.7107,LB,Subbituminous Coal
MN,"1,4-Dichlorobenzene",97.1374,LB,"Subbituminous Coal, Pulverized"
OK,"1,4-Dichlorobenzene",186,LB,"Subbituminous Coal, Pulverized"
TN,"1,4-Dichlorobenzene",83.72,LB,"Subbituminous Coal, Pulverized"
WY,"1,4-Dichlorobenzene",174.4,LB,"Subbituminous Coal, Pulverized"
FL,"1,4-Dichlorobenzene",0.876,LB,Natural Gas
KY,"1,4-Dichlorobenzene",0.63,LB,Natural Gas
LA,"1,4-Dichlorobenzene",0.21471,LB,Natural Gas
MS,"1,4-Dichlorobenzene",4,LB,Natural Gas
OR,"1,4-Dichlorobenzene",0.1878376,LB,Natural Gas
SC,"1,4-Dichlorobenzene",2.16581176,LB,Natural Gas
TN,"1,4-Dichlorobenzene",0.29672,LB,Natural Gas
WV,"1,4-Dichlorobenzene",0.3714,LB,Natural Gas
IA,"1,4-Dichlorobenzene",0,LB,Natural Gas
AZ,"1,4-Dichlorobenzene",2.24872,LB,Natural Gas
KY,"1,4-Dichlorobenzene",0.15,LB,Natural Gas
SC,"1,4-Dichlorobenzene",0.2892988,LB,Natural Gas
CA,"1,4-Dichlorobenzene",0.00498,LB,Process Gas
CA,"1,4-Dichlorobenzene",0.0271899,LB,Process Gas
TN,"1,4-Dichlorobenzene",0.2642571,LB,Process Gas
CA,"1,4-Dichlorobenzene",0.000008,LB,Wood/Bark Waste
CA,"1,4-Dichlorobenzene",6.44648,LB,Distillate Oil (Diesel)
SC,"1,4-Dichlorobenzene",0.0000356,LB,Distillate Oil (Diesel)
AL,"1,4-Dichlorobenzene",0,LB,Distillate Oil (Diesel)
MS,"1,4-Dichlorobenzene",9.6,LB,Natural Gas
MS,"1,4-Dichlorobenzene",0,LB,Natural Gas
NC,"1,4-Dichlorobenzene",3.939,LB,Natural Gas
PA,"1,4-Dichlorobenzene",12,LB,Natural Gas
CA,"1,4-Dichlorobenzene",23.954659,LB,Process Gas
SC,"1,4-Dichlorobenzene",1.78,LB,Landfill Gas
CA,"1,4-Dichlorobenzene",15.118706,LB,Landfill Gas
CT,"1,4-Dichlorobenzene",1.674082,LB,Landfill Gas
ME,"1,4-Dichlorobenzene",0.6,LB,Landfill Gas
MS,"1,4-Dichlorobenzene",0,LB,Landfill Gas
NC,"1,4-Dichlorobenzene",10.18301,LB,Landfill Gas
NH,"1,4-Dichlorobenzene",0.549,LB,Landfill Gas
NY,"1,4-Dichlorobenzene",341.63,LB,Landfill Gas
OR,"1,4-Dichlorobenzene",3.727056,LB,Landfill Gas
SC,"1,4-Dichlorobenzene",3.08,LB,Landfill Gas
NY,"1,4-Dichlorobenzene",2.5,LB,Landfill Gas
CA,"1,4-Dichlorobenzene",1.73,LB,Landfill Gas
NC,"1,4-Dichlorobenzene",2.798,LB,Landfill Gas
MS,2-Chloroacetophenone,8.88197,LB,"Anthracite Coal, Pulverized"
PA,2-Chloroacetophenone,19.8636,LB,"Anthracite Coal, Pulverized"
AL,2-Chloroacetophenone,37.732994,LB,"Bituminous Coal, Pulverized"
FL,2-Chloroacetophenone,24.37791,LB,"Bituminous Coal, Pulverized"
IN,2-Chloroacetophenone,0.394241,LB,"Bituminous Coal, Pulverized"
OH,2-Chloroacetophenone,24.08378,LB,"Bituminous Coal, Pulverized"
OK,2-Chloroacetophenone,12.2848,LB,"Bituminous Coal, Pulverized"
PA,2-Chloroacetophenone,8.23886,LB,"Bituminous Coal, Pulverized"
TX,2-Chloroacetophenone,16.8044,LB,"Bituminous Coal, Pulverized"
UT,2-Chloroacetophenone,40.0179,LB,"Bituminous Coal, Pulverized"
,2-Chloroacetophenone,10.7901,LB,"Bituminous Coal, Pulverized"
AL,2-Chloroacetophenone,60.4700035,LB,"Bituminous Coal, Pulverized"
AZ,2-Chloroacetophenone,25.53158,LB,"Bituminous Coal, Pulverized"
DE,2-Chloroacetophenone,4.3730982,LB,"Bituminous Coal, Pulverized"
FL,2-Chloroacetophenone,107.715762,LB,"Bituminous Coal, Pulverized"
GA,2-Chloroacetophenone,0.237923,LB,"Bituminous Coal, Pulverized"
IA,2-Chloroacetophenone,1.3258739,LB,"Bituminous Coal, Pulverized"
IL,2-Chloroacetophenone,153.239698,LB,"Bituminous Coal, Pulverized"
IN,2-Chloroacetophenone,98.056811,LB,"Bituminous Coal, Pulverized"
KS,2-Chloroacetophenone,1.31,LB,"Bituminous Coal, Pulverized"
KY,2-Chloroacetophenone,175.9742913,LB,"Bituminous Coal, Pulverized"
LA,2-Chloroacetophenone,53.5394,LB,"Bituminous Coal, Pulverized"
MA,2-Chloroacetophenone,8.059302,LB,"Bituminous Coal, Pulverized"
MD,2-Chloroacetophenone,20.317213,LB,"Bituminous Coal, Pulverized"
MI,2-Chloroacetophenone,18.6706,LB,"Bituminous Coal, Pulverized"
MN,2-Chloroacetophenone,0.2359934,LB,"Bituminous Coal, Pulverized"
MO,2-Chloroacetophenone,0.08,LB,"Bituminous Coal, Pulverized"
MS,2-Chloroacetophenone,5.4,LB,"Bituminous Coal, Pulverized"
NC,2-Chloroacetophenone,55.218756,LB,"Bituminous Coal, Pulverized"
NH,2-Chloroacetophenone,0.824246,LB,"Bituminous Coal, Pulverized"
NJ,2-Chloroacetophenone,11.1288444,LB,"Bituminous Coal, Pulverized"
NV,2-Chloroacetophenone,14.13817,LB,"Bituminous Coal, Pulverized"
NY,2-Chloroacetophenone,14.1049358,LB,"Bituminous Coal, Pulverized"
OH,2-Chloroacetophenone,211.1457871,LB,"Bituminous Coal, Pulverized"
PA,2-Chloroacetophenone,226.7770197,LB,"Bituminous Coal, Pulverized"
SC,2-Chloroacetophenone,21.5521918,LB,"Bituminous Coal, Pulverized"
TN,2-Chloroacetophenone,7.62518,LB,"Bituminous Coal, Pulverized"
TX,2-Chloroacetophenone,76.7844,LB,"Bituminous Coal, Pulverized"
VA,2-Chloroacetophenone,9.032435,LB,"Bituminous Coal, Pulverized"
WI,2-Chloroacetophenone,17.1280913,LB,"Bituminous Coal, Pulverized"
WV,2-Chloroacetophenone,146.8154937,LB,"Bituminous Coal, Pulverized"
IL,2-Chloroacetophenone,134.2305546,LB,Bituminous Coal
IN,2-Chloroacetophenone,46.71694,LB,Bituminous Coal
KY,2-Chloroacetophenone,43.7577,LB,Bituminous Coal
MD,2-Chloroacetophenone,3.31698,LB,Bituminous Coal
MO,2-Chloroacetophenone,1.95783,LB,Bituminous Coal
NE,2-Chloroacetophenone,6.99358,LB,Bituminous Coal
NH,2-Chloroacetophenone,5.81079,LB,Bituminous Coal
NJ,2-Chloroacetophenone,0.718142,LB,Bituminous Coal
OH,2-Chloroacetophenone,5.6423738,LB,Bituminous Coal
TN,2-Chloroacetophenone,11.65102,LB,Bituminous Coal
WI,2-Chloroacetophenone,2.93397,LB,Bituminous Coal
WV,2-Chloroacetophenone,5.214249,LB,Bituminous Coal
IL,2-Chloroacetophenone,0.299577,LB,Bituminous Coal
MO,2-Chloroacetophenone,0.33888,LB,Bituminous Coal
NC,2-Chloroacetophenone,0.82,LB,Bituminous Coal
OK,2-Chloroacetophenone,14.467,LB,Bituminous Coal
VA,2-Chloroacetophenone,1.167001,LB,Bituminous Coal
IA,2-Chloroacetophenone,0.337957,LB,Bituminous Coal
MN,2-Chloroacetophenone,0.37552,LB,Bituminous Coal
,2-Chloroacetophenone,60.1034,LB,"Bituminous Coal, Pulverized"
AL,2-Chloroacetophenone,16.2653,LB,"Bituminous Coal, Pulverized"
AZ,2-Chloroacetophenone,29.76,LB,"Bituminous Coal, Pulverized"
CO,2-Chloroacetophenone,4.79721,LB,"Bituminous Coal, Pulverized"
CT,2-Chloroacetophenone,2.05139,LB,"Bituminous Coal, Pulverized"
FL,2-Chloroacetophenone,22.406073,LB,"Bituminous Coal, Pulverized"
GA,2-Chloroacetophenone,209.16292,LB,"Bituminous Coal, Pulverized"
IN,2-Chloroacetophenone,99.401438,LB,"Bituminous Coal, Pulverized"
KY,2-Chloroacetophenone,51.6556,LB,"Bituminous Coal, Pulverized"
MA,2-Chloroacetophenone,4.71286,LB,"Bituminous Coal, Pulverized"
MD,2-Chloroacetophenone,34.927551,LB,"Bituminous Coal, Pulverized"
