#The Energy Information Administration (EIA),,,,,,,,,,,,,,,,,,,,,,,,,,
# https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2015.zip,,,,,,,,,,,,,,,,,,,,,,,,,,
# Page 4 Generator Data from file EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Id,"Combined Heat And
 Power Plant",Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,"Reported
Prime Mover","Net Generation
January","Net Generation
February","Net Generation
March","Net Generation
April","Net Generation
May","Net Generation
June","Net Generation
July","Net Generation
August","Net Generation
September","Net Generation
October","Net Generation
November","Net Generation
December","Net Generation
Year To Date",YEAR
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2ST,CA,133696,120914,114546,92587,130585,123352,120550,124622,-119,5318,132931,96378,1195360,2015
7,Y,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,-363,11007,20163,16338,8231,16192,15733,16785,16265,8452,9743,8434,146980,2015
7,Y,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,15754,14564,4378,-336,8240,1390,-327,-367,2406,8721,6833,6419,67675,2015
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,10,ST,450635,424247,207590,443970,372463,466875,487136,481965,456395,-1686,-1243,116942,3905289,2015
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,6,ST,-465,6453,-458,-178,0,0,0,0,0,0,0,0,5352,2015
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,7,ST,-516,15585,-434,-194,0,0,0,0,0,0,0,0,14441,2015
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,8,ST,-322,-359,-275,-859,49673,74963,82102,73306,66746,6429,-1020,20211,370595,2015
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,9,ST,-322,-359,-275,-631,33613,71885,77920,71304,40728,-667,-689,63858,356365,2015
10,N,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,70806,85068,28261,88123,101573,124845,132260,113276,109939,100194,83417,83974,1121736,2015
10,N,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,62383,80507,33082,85968,113056,116535,126857,128680,106205,109829,37761,85049,1085912,2015
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,53972,59828,57492,46229,43164,-1095,-1194,-924,-708,21918,27657,17345,323684,2015
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,42776,55218,57831,43279,58273,45585,55937,65387,-51,-223,31487,10869,466368,2015
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,3,ST,25187,18296,-527,-428,6831,49926,59445,68708,47599,4202,-234,26451,305456,2015
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,ST,482398,414279,442691,167257,538548,532870,504729,425654,466767,528673,447166,350421,5301453,2015
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST4,ST,20828,15446,-1267,-935,6753,39867,45829,455,50078,6351,-919,-778,181708,2015
47,N,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,1,ST,71850,81487,75839,5092,79092,36732,71715,17694,73675,44302,62099,34308,653885,2015
47,N,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,2,ST,28826,55268,-427,-872,68794,62937,58879,61048,69892,61835,81642,69208,617030,2015
47,N,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,3,ST,72166,79350,79107,11887,82603,67936,77134,46731,76547,59891,50976,35425,739753,2015
47,N,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,4,ST,87510,82361,25843,-911,71411,54520,79196,80576,75740,48075,59857,51538,715716,2015
47,N,Colbert,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,5,ST,-3507,-2463,-2848,-2858,-2474,-3313,-3728,-4735,-3256,-4238,-3636,-3953,-41009,2015
50,N,Widows Creek,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,7,ST,160167,222130,33744,39400,288207,243555,258449,238381,153897,0,0,0,1637930,2015
50,N,Widows Creek,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,8,ST,-1178,-1064,-1178,-1161,-1344,-1130,-1073,-1081,-1274,0,0,0,-10483,2015
51,N,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SPP,22,1,Electric Utility,1,ST,452630,350737,322093,13553,364615,418663,443677,396210,422771,304408,410993,372695,4273045,2015
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,1,ST,-719,3571,-896,-940,-1439,-1487,-1503,-1473,-1355,-1424,-1157,-938,-9760,2015
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,2,ST,85725,93790,-3420,34473,122523,122790,114760,105100,114063,117600,75521,49660,1032585,2015
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,3,ST,30899,51544,128547,11051,-2059,94867,125668,121342,-2772,-1362,8833,58400,624958,2015
59,N,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,22,1,Electric Utility,1,ST,53758,49740,50305,20713,47055,50959,55478,46277,46887,40385,35444,44761,541762,2015
60,N,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,1,ST,34716,28431,22644,32,29836,15279,36783,35148,25755,26163,32457,36898,324142,2015
60,N,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,2,ST,113257,100822,15456,111193,127958,126978,135272,126558,113567,52842,21236,11256,1056395,2015
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,1,ST,3131,2937,3277,3034,2296,2809,2898,3087,3227,3070,2736,3137,35639,2015
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,2,ST,156,82,8,803,812,1245,1023,823,1222,1035,558,141,7908,2015
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,5,ST,13207,11053,7322,5860,15095,14346,15086,15512,12594,15190,14337,15147,154749,2015
87,N,Escalante,"Tri-State G & T Assn, Inc",30151,NM,MTN,WECC,22,1,Electric Utility,1,ST,54301,119353,128454,121734,124751,127892,129923,133525,119724,118361,79877,110707,1368602,2015
96,N,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,22,1,Electric Utility,6,CT,382,1055,0,.,.,.,.,.,.,.,.,.,1437,2015
96,N,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,22,1,Electric Utility,7,CT,52391,45779,44867,.,.,.,.,.,.,.,.,.,143037,2015
96,N,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,22,1,Electric Utility,8,CA,17515,15434,11395,.,.,.,.,.,.,.,.,.,44344,2015
108,N,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,SPP,22,1,Electric Utility,1,ST,185850,152705,183252,129233,12147,163761,192705,183310,82248,-2209,-2137,162600,1443465,2015
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1,ST,55252,31113,67022,55059,54685,66448,70615,66869,63615,59074,37515,0,627267,2015
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2,ST,110660,98927,136739,99299,140982,61121,139189,143916,144917,791,0,0,1076541,2015
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3,ST,65665,15085,121019,73386,92820,152089,155910,166503,152144,142784,94816,67539,1299760,2015
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,4,ST,213878,115263,192991,211502,249582,266859,261395,217638,233111,223379,93733,240043,2519374,2015
116,N,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1,ST,3164,2220,2931,677,0,10862,3121,11276,6990,2777,5902,5463,55383,2015
116,N,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2,ST,4478,1980,2644,6441,0,9037,1801,8107,5636,3386,2338,4291,50139,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1B,CS,8135,7023,6708,0,4723,2605,5548,11086,12752,3976,5017,6287,73860,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2B,CS,6482,2398,7634,8387,2983,5769,5482,15077,10334,5178,5376,5165,80265,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3B,CS,6729,7709,8790,11321,4723,10236,7847,18180,11189,6543,3360,4381,101008,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-1,CT,7700,2090,10250,3997,0,18760,2430,28207,21670,10850,1610,1722,109286,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-2,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-1,CT,29250,22056,5904,38614,3374,35392,44078,76131,69161,66022,58400,66940,515322,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-2,CT,0,0,0,0,0,27636,39730,75174,71476,63092,70150,84341,431599,2015
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-3,CA,13797,10996,2318,19812,1665,34788,44201,81065,75770,68305,69390,78140,500247,2015
120,N,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,5000,20842,25902,31091,28279,19015,25237,22937,20300,23463,23596,31864,277526,2015
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,4,ST,50604,39215,41369,18146,42754,34377,49758,60374,50370,53626,63814,54787,559194,2015
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,0,0,0,.,0,3740,7069,12894,27,2825,0,0,26555,2015
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST2,ST,0,0,0,.,0,12350,2759,12602,688,1185,3308,7160,40052,2015
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST3,ST,3391,0,1364,22791,4045,28347,22437,36426,4584,15126,0,0,138511,2015
127,N,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,22,1,Electric Utility,1,ST,277276,244495,578,0,244352,190317,189476,262851,196117,178311,166708,131456,2081937,2015
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,1,ST,255845,159778,67985,-3226,54311,284091,291025,172715,-3510,-3955,-58,-2210,1272791,2015
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,2,ST,75771,145392,-3805,-3874,194551,97753,-2435,53622,-3467,-2489,-4158,-4413,542448,2015
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,3,ST,358156,373169,386856,350431,90194,225900,372778,325715,337309,328307,278996,193803,3621614,2015
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,4,ST,193860,372266,231245,42209,379776,366363,377607,370569,341816,328684,287875,192841,3485111,2015
136,N,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,1,ST,311488,192341,-2539,136737,371790,375189,368841,359732,348749,360833,322831,389288,3535280,2015
136,N,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,FRCC,22,1,Electric Utility,2,ST,311419,306810,367986,339464,330888,363166,364718,358429,344377,393400,361642,366635,4208934,2015
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF1,ST,-77,-95,368,-265,-165,10846,4010,15961,3757,2321,-129,495,37027,2015
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF2,ST,-241,214,-209,248,-252,11861,3367,12146,3603,375,-186,433,31359,2015
141,N,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF3,ST,-417,-422,-152,-180,-183,17380,2996,22573,1040,-193,-176,-183,42083,2015
147,N,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7,CT,-185,1363,23283,68560,16057,43935,42534,42909,42545,40034,10301,48573,379909,2015
147,N,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7A,CA,-123,776,12605,38356,30246,78560,76721,77277,75275,71509,5291,26464,492957,2015
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,-203,-165,-169,-150,-154,5940,3401,9093,-194,-173,-167,-207,16852,2015
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST2,ST,82451,64229,26542,15850,75247,90897,98010,100875,88066,73121,59871,67985,843144,2015
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST3,ST,108406,80548,90487,73113,30485,103572,114906,114092,89909,99347,77253,87132,1069250,2015
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,SPP,22,1,Electric Utility,1,ST,106369,108835,160709,71612,208966,220600,240376,245609,184731,173466,106185,187267,2014725,2015
165,N,GREC,Grand River Dam Authority,7490,OK,WSC,SPP,22,1,Electric Utility,2,ST,197793,200014,175019,155743,178739,213324,199561,230230,155647,37696,-1097,-2200,1740469,2015
170,N,Lake Catherine,Entergy Arkansas Inc,814,AR,WSC,SERC,22,1,Electric Utility,4,ST,-343,0,-212,-243,-630,30897,22222,32250,65829,6929,-292,3221,159628,2015
201,N,Thomas Fitzhugh,Arkansas Electric Coop Corp,807,AR,WSC,SPP,22,1,Electric Utility,1,CA,0,841,0,.,.,.,14840,3245,0,0,69,1807,20802,2015
201,N,Thomas Fitzhugh,Arkansas Electric Coop Corp,807,AR,WSC,SPP,22,1,Electric Utility,2,CT,0,2883,0,.,.,.,37046,8068,0,0,2014,5606,55617,2015
202,N,Carl Bailey,Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,1,ST,0,0,23,286,.,1131,.,17867,10385,1411,917,0,32020,2015
203,N,McClellan (AR),Arkansas Electric Coop Corp,807,AR,WSC,SERC,22,1,Electric Utility,1,ST,5908,0,0,9729,.,18239,22582,15099,3856,13514,26,0,88953,2015
207,N,St Johns River Power Park,JEA,9617,FL,SAT,FRCC,22,1,Electric Utility,1,ST,218996,268730,-4161,-3191,177958,311843,.,302830,274983,274496,258489,66211,2147184,2015
207,N,St Johns River Power Park,JEA,9617,FL,SAT,FRCC,22,1,Electric Utility,2,ST,85929,115203,301147,278763,307389,282972,.,299954,299674,276150,224700,180158,2652039,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,0,0,0,143910,28648,17924,26613,53508,51064,0,0,3464,325131,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,7,ST,0,0,0,0,48732,0,41700,37359,24560,62549,0,0,214900,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1A,CT,19770,20278,38278,75558,65038,26991,109840,110823,100199,86052,67811,53380,774018,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1B,CT,17338,18550,30721,35097,19144,6048,29228,38448,25867,51207,28276,29071,328995,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2A,CT,28628,18874,24700,11497,43719,74786,51134,52540,32399,37096,26747,45594,447714,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2B,CT,23592,12644,23063,15718,58621,41035,87232,96233,101892,90898,55105,69852,675885,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST1,CA,18799,21665,39731,59116,43719,15407,69847,77479,63971,70486,50873,44694,575787,2015
260,N,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST2,CA,26936,16036,25134,15198,68632,62369,71716,76990,69623,64480,45375,62509,604998,2015
271,N,Pittsburg Power,NRG Delta LLC,12631,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,0,439,4954,46167,1341,9728,9060,15738,10654,1024,7145,3668,109918,2015
271,N,Pittsburg Power,NRG Delta LLC,12631,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,0,0,428,37253,3441,2243,5227,0,2101,6058,0,2230,58981,2015
271,N,Pittsburg Power,NRG Delta LLC,12631,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,7,ST,-424,-416,-328,3663,1399,1833,5867,-543,2188,-349,-351,-378,12161,2015
298,N,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,1,ST,539576,83142,1076,412814,496217,478989,435003,479429,439456,356730,162875,179979,4065286,2015
298,N,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,2,ST,496350,483412,603895,444237,555714,466446,435350,507892,423863,138431,144619,399177,5099386,2015
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,0,0,96,2670,5333,5600,11276,9362,11841,221,264,46663,2015
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,466,2595,281,2843,0,6341,7566,11141,9402,10760,0,394,51789,2015
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,0,6466,4255,7054,1973,36656,36170,52975,31770,29315,1950,8192,216776,2015
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,25063,15539,0,8822,15828,31596,29899,53874,50085,58072,9956,1578,300312,2015
302,N,Encina,NRG Cabrillo Power Ops Inc,13960,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST1,ST,0,0,0,0,657,4575,6453,8922,9992,6097,388,0,37084,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,0,0,0,0,0,5632,11505,12698,6402,8988,0,0,45225,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,1194,5235,2014,3701,11195,11756,18967,14735,16507,6822,979,93105,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,0,7951,5113,3301,0,37792,63108,65529,56503,37747,3423,29329,309796,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,4849,2220,25843,2923,4499,39021,46200,0,19281,44198,969,7459,197462,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,0,0,0,0,0,11832,26082,72670,31907,0,0,0,142491,2015
315,N,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,0,0,0,0,0,27255,53633,67538,72569,43751,0,0,264746,2015
330,N,El Segundo Power,NRG El Segundo Operations Inc,13584,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,0,0,12373,7130,3501,22065,19551,39212,20127,16949,345,3026,144279,2015
331,N,Etiwanda Generating Station,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,ST,0,0,0,1960,571,23664,22082,10699,16649,13173,0,0,88798,2015
331,N,Etiwanda Generating Station,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,ST,0,0,0,0,0,14166,10156,10201,7102,6481,0,0,48106,2015
335,N,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,40735,0,21294,8075,17589,47481,51989,54405,49809,36666,7620,21812,357475,2015
335,N,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,0,28078,15111,11821,34996,48615,58748,51308,42672,32210,41463,365022,2015
345,N,Mandalay,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,1504,3795,0,957,1016,21665,19404,22051,15992,20703,1843,3121,112051,2015
345,N,Mandalay,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,0,0,5208,5562,28112,22762,28024,19993,20593,2707,2644,135605,2015
350,N,Ormond Beach,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,ST,0,0,2,0,1,8378,25778,62567,48373,32642,0,0,177741,2015
350,N,Ormond Beach,NRG California South LP,15908,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,ST,0,0,0,1,0,34566,46023,69992,19032,45242,0,12416,227272,2015
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,ST,0,12050,0,4234,0,3812,7405,12869,7451,5868,879,0,54568,2015
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,ST,0,4502,0,0,717,10385,11384,15901,8652,6714,3858,1929,64042,2015
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,7,ST,0,0,0,0,0,15890,51834,41419,89695,0,0,0,198838,2015
356,N,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,8,ST,0,0,0,0,0,37772,55881,0,25146,34867,15345,429,169440,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3A,CT,66557,74823,77041,41754,53917,85189,96952,89969,87575,79859,80518,69969,904123,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3B,CT,53577,74446,62111,27742,64044,75518,96995,90104,87144,79715,70219,44895,826511,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3C,CA,70158,92383,87255,41425,72699,99032,120637,118877,114834,99584,92455,70706,1080046,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4A,CT,76556,72283,71506,50009,51930,89684,92770,85813,90432,77519,89126,71979,919608,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4B,CT,73010,73146,68019,50216,48994,81196,94431,93719,90223,76954,88386,68736,907031,2015
358,N,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4C,CA,90052,86204,85494,61146,57871,104485,115793,114429,115222,93674,105031,83691,1113092,2015
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,1,CA,0,0,0,8,1435,0,0,0,19,109,0,20,1591,2015
377,N,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,2,CA,94,0,40,111,849,435,367,849,1640,1232,1194,289,7100,2015
