# File: H2Fast_electrolyzer_NEcost_CF.csv
# Title: H2Fast (Python implementation of H2A) non-energy costs of electrolyzers as a function of capacity factor for 3 scenarios
# Units: 2016$/kg
# Source: H2A is the DOE EERE Hydrogen program's analysis model (https://www.hydrogen.energy.gov/h2a_analysis.html)
# Comments: Data provided by Joe Brauch (Joe.Brauch@nrel.gov). Filename: h2_LTE_non_energy_costs_20231130.csv
# Column types: icnn
# ----------
Year,Scen,CF,NEcost_2020USD_per_kg
2050,bau,0.15,4.601503991132596
2050,bau,0.2,3.454091114037179
2050,bau,0.25,2.778802913043087
2050,bau,0.3,2.325572349387801
2050,bau,0.35,2.0026920663101797
2050,bau,0.4,1.7614940573285944
2050,bau,0.45,1.5740569023346438
2050,bau,0.5,1.42523841028224
2050,bau,0.55,1.3014293803375583
2050,bau,0.6,1.1973586099189202
2050,bau,0.65,1.1129337926670264
2050,bau,0.7,1.039958814005206
2050,bau,0.75,0.9774132696085496
2050,bau,0.8,0.9241686225161072
2050,bau,0.85,0.8715304880645416
2050,bau,0.9,0.8312053275081285
2050,bau,0.95,0.7890008691291229
2050,bau,1.0,0.7588633480703464
2022,high,0.1,18.002456480136438
2022,high,0.15,12.044712826769512
2022,high,0.2,9.08343421644023
2022,high,0.25,7.309003431112297
2022,high,0.3,6.133013647052904
2022,high,0.35,5.28376190371649
2022,high,0.4,4.673149343329734
2022,high,0.45,4.179586735825565
2022,high,0.5,3.7913757802676877
2022,high,0.55,3.4788320115355873
2022,high,0.6,3.2278234449333794
2022,high,0.65,2.981784713231506
2022,high,0.7,2.8124078236165255
2022,high,0.75,2.6268686308960243
2022,high,0.8,2.515841987766642
2022,high,0.85,2.369575984533838
2022,high,0.9,2.2395617594380126
2022,high,0.95,2.18886315436542
2022,high,1.0,2.0808859932876094
2025,high,0.1,10.13496927258733
2025,high,0.15,6.766419492661251
2025,high,0.2,5.090509294084512
2025,high,0.25,4.087958473571416
2025,high,0.3,3.422475642071509
2025,high,0.35,2.947266547927918
2025,high,0.4,2.596179981157332
2025,high,0.45,2.3160436805909916
2025,high,0.5,2.0960689993803316
2025,high,0.55,1.917952457697973
2025,high,0.6,1.7684227050825212
2025,high,0.65,1.6431252277482178
2025,high,0.7,1.538312362803462
2025,high,0.75,1.4377128944058644
2025,high,0.8,1.360753661563048
2025,high,0.85,1.2964856215634166
2025,high,0.9,1.2260875277437333
2025,high,0.95,1.1630997595892791
2025,high,1.0,1.1222842260731085
2030,high,0.1,6.028496496439923
2030,high,0.15,4.0287709752296434
2030,high,0.2,3.028908214624507
2030,high,0.25,2.4335158206545167
2030,high,0.3,2.0367805059997655
2030,high,0.35,1.754051694974978
2030,high,0.4,1.5421615661747379
2030,high,0.45,1.3780146478880744
2030,high,0.5,1.2474845178802147
2030,high,0.55,1.1417583974740024
2030,high,0.6,1.0507298751782532
2030,high,0.65,0.9768323269591621
2030,high,0.7,0.9129682992141391
2030,high,0.75,0.8582224628949575
2030,high,0.8,0.8064161235732984
2030,high,0.85,0.7655802250035622
2030,high,0.9,0.7246768978833257
2030,high,0.95,0.6933582561110868
2030,high,1.0,0.6601563742208835
2035,high,0.1,4.945321939835543
2035,high,0.15,3.3066546041600557
2035,high,0.2,2.4873209363223148
2035,high,0.25,1.998747853393318
2035,high,0.3,1.6741623671537975
2035,high,0.35,1.4424193084955736
2035,high,0.4,1.2687369883007782
2035,high,0.45,1.1341707493278221
2035,high,0.5,1.0271491610737495
2035,high,0.55,0.9383132921926496
2035,high,0.6,0.8658566325234262
2035,high,0.65,0.8052321331772994
2035,high,0.7,0.7528554243581106
2035,high,0.75,0.7046197790088969
2035,high,0.8,0.6655297445488321
2035,high,0.85,0.6319954353179791
2035,high,0.9,0.5985134854024973
2035,high,0.95,0.5727696140833328
2035,high,1.0,0.5455971642945169
2040,high,0.1,4.894603709259312
2040,high,0.15,3.272842450442573
2040,high,0.2,2.4619618210342025
2040,high,0.25,1.9784247465778455
2040,high,0.3,1.6571832475234671
2040,high,0.35,1.42782752997187
2040,high,0.4,1.2559342403953142
2040,high,0.45,1.1227530780057091
2040,high,0.5,1.0168322464430755
2040,high,0.55,0.9289120686718496
2040,high,0.6,0.8572001849627158
2040,high,0.65,0.7971971787536679
2040,high,0.7,0.7453583486045706
2040,high,0.75,0.6976225083055925
2040,high,0.8,0.6589329242922588
2040,high,0.85,0.6257405024233317
2040,high,0.9,0.5926060487797746
2040,high,0.95,0.5671232087888707
2040,high,1.0,0.5402330792647781
2045,high,0.1,4.84388547868309
2045,high,0.15,3.239030296725089
2045,high,0.2,2.4366027057460897
2045,high,0.25,1.9581016397624196
2045,high,0.3,1.639474259179599
2045,high,0.35,1.412333616825353
2045,high,0.4,1.2420652133891452
2045,high,0.45,1.1113354066835954
2045,high,0.5,1.0065153318124016
2045,high,0.55,0.9195108451510497
2045,high,0.6,0.8472326497109289
2045,high,0.65,0.7891622243300365
2045,high,0.7,0.7348878166504537
2045,high,0.75,0.6906252376022873
2045,high,0.8,0.6523361040356858
2045,high,0.85,0.619485569528684
2045,high,0.9,0.5866986121570519
2045,high,0.95,0.5614768034944085
2045,high,1.0,0.5348689942350391
2050,high,0.1,4.793167248106861
2050,high,0.15,3.205218143007605
2050,high,0.2,2.411243590457977
2050,high,0.25,1.9372521921746197
2050,high,0.3,1.6225039801349082
2050,high,0.35,1.397752764382756
2050,high,0.4,1.2292753791609856
2050,high,0.45,1.0999177353614824
2050,high,0.5,0.9944358407288024
2050,high,0.55,0.9101096216302509
2050,high,0.6,0.838591768134368
2050,high,0.65,0.7775361803495034
2050,high,0.7,0.7274267875427964
2050,high,0.75,0.6836279668989824
2050,high,0.8,0.6457392837791124
2050,high,0.85,0.609479386718583
2050,high,0.9,0.5807911755343292
2050,high,0.95,0.5558303981999467
2050,high,1.0,0.5295049092053001
2022,breakthrough,0.1,18.002456480136438
2022,breakthrough,0.15,12.044712826769512
2022,breakthrough,0.2,9.08343421644023
2022,breakthrough,0.25,7.309003431112297
2022,breakthrough,0.3,6.133013647052904
2022,breakthrough,0.35,5.28376190371649
2022,breakthrough,0.4,4.673149343329734
2022,breakthrough,0.45,4.179586735825565
2022,breakthrough,0.5,3.7913757802676877
2022,breakthrough,0.55,3.4788320115355873
2022,breakthrough,0.6,3.2278234449333794
2022,breakthrough,0.65,2.981784713231506
2022,breakthrough,0.7,2.8124078236165255
2022,breakthrough,0.75,2.6268686308960243
2022,breakthrough,0.8,2.515841987766642
2022,breakthrough,0.85,2.369575984533838
2022,breakthrough,0.9,2.2395617594380126
2022,breakthrough,0.95,2.18886315436542
2022,breakthrough,1.0,2.0808859932876094
2025,breakthrough,0.1,7.835797462306856
2025,breakthrough,0.15,5.233638285807601
2025,breakthrough,0.2,3.927515560517411
2025,breakthrough,0.25,3.159023031064422
2025,breakthrough,0.3,2.6431858616169803
2025,breakthrough,0.35,2.275716748512066
2025,breakthrough,0.4,2.0012265975483734
2025,breakthrough,0.45,1.7879181065362453
2025,breakthrough,0.5,1.6185747896789435
2025,breakthrough,0.55,1.4776607155843833
2025,breakthrough,0.6,1.359195014038648
2025,breakthrough,0.65,1.263151087009377
2025,breakthrough,0.7,1.1801202107972295
2025,breakthrough,0.75,1.1089660078680226
2025,breakthrough,0.8,1.0484162518833127
2025,breakthrough,0.85,0.988469433351324
2025,breakthrough,0.9,0.9426321283622365
2025,breakthrough,0.95,0.8945631015171284
2025,breakthrough,1.0,0.8603438184011163
2030,breakthrough,0.1,3.1827777071706413
2030,breakthrough,0.15,2.1316251157165467
2030,breakthrough,0.2,1.606048819989866
2030,breakthrough,0.25,1.2915770255824706
2030,breakthrough,0.3,1.082896394554561
2030,breakthrough,0.35,0.9338380016219994
2030,breakthrough,0.4,0.8226024311898933
2030,breakthrough,0.45,0.7355421880860012
2030,breakthrough,0.5,0.6665806347134343
2030,breakthrough,0.55,0.6105008629420435
2030,breakthrough,0.6,0.5630811578193199
2030,breakthrough,0.65,0.5230823324897778
2030,breakthrough,0.7,0.48850079461676504
2030,breakthrough,0.75,0.4597794375380475
2030,breakthrough,0.8,0.4344445425776599
2030,breakthrough,0.85,0.41234038192240324
2030,breakthrough,0.9,0.39106152924616483
2030,breakthrough,0.95,0.37406746047763334
2030,breakthrough,1.0,0.3568301042957171
2035,breakthrough,0.1,2.8391603946300945
2035,breakthrough,0.15,1.9025469073566064
2035,breakthrough,0.2,1.4342401637195923
2035,breakthrough,0.25,1.1540110935404813
2035,breakthrough,0.3,0.968027411285689
2035,breakthrough,0.35,0.8351812967159958
2035,breakthrough,0.4,0.7360290481788359
2035,breakthrough,0.45,0.6584409033618223
2035,breakthrough,0.5,0.596961120358503
2035,breakthrough,0.55,0.5469578073578211
2035,breakthrough,0.6,0.5046954216234919
2035,breakthrough,0.65,0.46904338397102296
2035,breakthrough,0.7,0.4382313767565771
2035,breakthrough,0.75,0.41260068493717544
2035,breakthrough,0.8,0.3900007721830322
2035,breakthrough,0.85,0.37027579239110303
2035,breakthrough,0.9,0.3513338613554923
2035,breakthrough,0.95,0.3361509013996984
2035,breakthrough,1.0,0.32080937317167874
2040,breakthrough,0.1,2.8391603946300945
2040,breakthrough,0.15,1.9025469073566064
2040,breakthrough,0.2,1.4342401637195923
2040,breakthrough,0.25,1.1540110935404813
2040,breakthrough,0.3,0.968027411285689
2040,breakthrough,0.35,0.8351812967159958
2040,breakthrough,0.4,0.7360290481788359
2040,breakthrough,0.45,0.6584409033618223
2040,breakthrough,0.5,0.596961120358503
2040,breakthrough,0.55,0.5469578073578211
2040,breakthrough,0.6,0.5046954216234919
2040,breakthrough,0.65,0.46904338397102296
2040,breakthrough,0.7,0.4382313767565771
2040,breakthrough,0.75,0.41260068493717544
2040,breakthrough,0.8,0.3900007721830322
2040,breakthrough,0.85,0.37027579239110303
2040,breakthrough,0.9,0.3513338613554923
2040,breakthrough,0.95,0.3361509013996984
2040,breakthrough,1.0,0.32080937317167874
2045,breakthrough,0.1,2.8391603946300945
2045,breakthrough,0.15,1.9025469073566064
2045,breakthrough,0.2,1.4342401637195923
2045,breakthrough,0.25,1.1540110935404813
2045,breakthrough,0.3,0.968027411285689
2045,breakthrough,0.35,0.8351812967159958
2045,breakthrough,0.4,0.7360290481788359
2045,breakthrough,0.45,0.6584409033618223
2045,breakthrough,0.5,0.596961120358503
2045,breakthrough,0.55,0.5469578073578211
2045,breakthrough,0.6,0.5046954216234919
2045,breakthrough,0.65,0.46904338397102296
2045,breakthrough,0.7,0.4382313767565771
2045,breakthrough,0.75,0.41260068493717544
2045,breakthrough,0.8,0.3900007721830322
2045,breakthrough,0.85,0.37027579239110303
2045,breakthrough,0.9,0.3513338613554923
2045,breakthrough,0.95,0.3361509013996984
2045,breakthrough,1.0,0.32080937317167874
2050,breakthrough,0.1,2.8391603946300945
2050,breakthrough,0.15,1.9025469073566064
2050,breakthrough,0.2,1.4342401637195923
2050,breakthrough,0.25,1.1540110935404813
2050,breakthrough,0.3,0.968027411285689
2050,breakthrough,0.35,0.8351812967159958
2050,breakthrough,0.4,0.7360290481788359
2050,breakthrough,0.45,0.6584409033618223
2050,breakthrough,0.5,0.596961120358503
2050,breakthrough,0.55,0.5469578073578211
2050,breakthrough,0.6,0.5046954216234919
2050,breakthrough,0.65,0.46904338397102296
2050,breakthrough,0.7,0.4382313767565771
2050,breakthrough,0.75,0.41260068493717544
2050,breakthrough,0.8,0.3900007721830322
2050,breakthrough,0.85,0.37027579239110303
2050,breakthrough,0.9,0.3513338613554923
2050,breakthrough,0.95,0.3361509013996984
2050,breakthrough,1.0,0.32080937317167874
