# File: H2A_IO_coef_data.csv
# Title: H2A energy input-output coefficients of hydrogen production technologies
# Units: Generally GJ in /kg H2 out unless otherwise indicated
# Source: H2A is the DOE EERE Hydrogen program's analysis model (https://www.hydrogen.energy.gov/h2a_analysis.html). H2A 2018 (generally), Results tab (2008 for nuclear thermal splitting).
# Comments: Non-energy cost = required selling price - feedstock costs. Max improvement = improvement_to_2040 + 10% unless otherwise stated
# Column types: cccccnnc
# ----------
sector.name,subsector.name,technology,minicam.energy.input,units,2020,2040,notes
H2 central production,biomass,biomass to H2,water_td_ind_C,gal / kgH2 out,3.273902,3.187805,Assume 100% process water consumption.  Total cooling water is calculated by subtracting from total WCF from Spath et al (2005) We then calculate the consumed fraction of cooling water by applying the consumption/withdrawal ratio from Mackinack et al for recirculating IGCC power plant
H2 central production,biomass,biomass to H2 CCS,water_td_ind_C,gal / kgH2 out,3.273902,3.187805,Assume 100% process water consumption.  Total cooling water is calculated by subtracting from total WCF from Spath et al (2005) We then calculate the consumed fraction of cooling water by applying the consumption/withdrawal ratio from Mackinack et al for recirculating IGCC power plant
H2 central production,coal,coal chemical,water_td_ind_C,gal / kgH2 out,10.060103,10.060103,
H2 central production,coal,coal chemical CCS,water_td_ind_C,gal / kgH2 out,10.060103,10.060103,
H2 central production,electricity,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 central production,solar,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 central production,wind,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 central production,gas,natural gas steam reforming,water_td_ind_C,gal / kgH2 out,4.296130,4.296130,Assume the fraction of cooling water that is consumed is equal to that of the recirculating gas (steam/CT) technology from electricity sector
H2 central production,gas,gas ATR CCS,water_td_ind_C,gal / kgH2 out,8.120000,8.120000,
H2 central production,nuclear,electrolysis,water_td_ind_C,gal / kgH2 out,2.360900,2.360900,
H2 LDV,onsite production,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 LDV,onsite production,natural gas steam reforming,water_td_ind_C,gal / kgH2 out,5.770000,4.380000,
H2 MHDV,onsite production,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 MHDV,onsite production,natural gas steam reforming,water_td_ind_C,gal / kgH2 out,5.770000,4.380000,
LH2,onsite production,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
LH2,onsite production,natural gas steam reforming,water_td_ind_C,gal / kgH2 out,5.770000,4.380000,
H2 industrial,onsite production,electrolysis,water_td_ind_C,gal / kgH2 out,4.760000,3.980000,
H2 central production,biomass,biomass to H2,water_td_ind_W,gal / kgH2 out,3.370000,3.280000,Spath et al (2005)
H2 central production,biomass,biomass to H2 CCS,water_td_ind_W,gal / kgH2 out,3.370000,3.280000,Spath et al (2005)
H2 central production,coal,coal chemical,water_td_ind_W,gal / kgH2 out,10.060103,10.060103,
H2 central production,coal,coal chemical CCS,water_td_ind_W,gal / kgH2 out,10.060103,10.060103,
H2 central production,electricity,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
H2 central production,solar,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
H2 central production,wind,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
H2 central production,gas,natural gas steam reforming,water_td_ind_W,gal / kgH2 out,4.850000,4.850000,
H2 central production,gas,gas ATR CCS,water_td_ind_W,gal / kgH2 out,8.120000,8.120000,
H2 central production,nuclear,electrolysis,water_td_ind_W,gal / kgH2 out,2.360900,2.360900,
H2 LDV,onsite production,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
H2 LDV,onsite production,natural gas steam reforming,water_td_ind_W,gal / kgH2 out,5.770000,4.380000,
H2 MHDV,onsite production,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
H2 MHDV,onsite production,natural gas steam reforming,water_td_ind_W,gal / kgH2 out,5.770000,4.380000,
LH2,onsite production,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
LH2,onsite production,natural gas steam reforming,water_td_ind_W,gal / kgH2 out,5.770000,4.380000,
H2 industrial,onsite production,electrolysis,water_td_ind_W,gal / kgH2 out,4.760000,3.980000,
